NATMON_IND,Indicateur,LOCATION,Pays,TIME,Temps,Value,Flag Codes,Flags,Notes moyennes
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",CUB,Cuba,2017,2017,89.0,,,15.488135039273248
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",CUB,Cuba,2018,2018,86.0,,,17.151893663724195
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",CUB,Cuba,2019,2019,83.0,,,16.02763376071644
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",CUB,Cuba,2020,2020,60.0,,,15.448831829968968
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",CUB,Cuba,2021,2021,69.0,,,14.236547993389047
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",USA,États-Unis d'Amérique,2017,2017,18353.90047,,,16.45894113066656
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",USA,États-Unis d'Amérique,2018,2018,19366.00161,,,14.375872112626926
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",USA,États-Unis d'Amérique,2020,2020,20139.88949,,,18.917730007820797
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",USA,États-Unis d'Amérique,2021,2021,17168.37117,,,19.636627605010293
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ARM,Arménie,2017,2017,421.0,,,13.834415188257777
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ARM,Arménie,2018,2018,534.0,,,17.917250380826644
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ARM,Arménie,2019,2019,683.0,,,15.288949197529044
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ARM,Arménie,2020,2020,803.0,,,15.680445610939323
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ARM,Arménie,2021,2021,674.0,,,19.25596638292661
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ARM,Arménie,2022,2022,791.0,,,10.71036058197887
